Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-124744.921	1436446064921	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-0.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124744.970	1436446064970	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-0.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.019	1436446065019	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-0.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.069	1436446065069	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-1.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.119	1436446065119	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-1.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.169	1436446065169	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-1.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.219	1436446065219	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-1.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.269	1436446065269	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-2.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.319	1436446065319	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-2.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.369	1436446065369	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-2.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.419	1436446065419	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-2.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.470	1436446065470	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-3.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.521	1436446065521	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-3.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.570	1436446065570	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-3.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.620	1436446065620	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-3.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.669	1436446065669	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-4.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.722	1436446065722	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-4.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.772	1436446065772	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-4.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.819	1436446065819	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-4.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.870	1436446065870	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-5.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.919	1436446065919	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-5.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124745.970	1436446065970	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-5.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.020	1436446066020	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-5.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.069	1436446066069	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-6.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.120	1436446066120	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-6.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.171	1436446066171	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-6.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.219	1436446066219	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-6.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.270	1436446066270	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-7.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.321	1436446066321	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-7.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.371	1436446066371	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-7.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.421	1436446066421	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-7.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.471	1436446066471	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-8.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.522	1436446066522	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-8.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.571	1436446066571	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-8.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.619	1436446066619	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-8.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.669	1436446066669	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-9.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.719	1436446066719	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-9.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.769	1436446066769	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-9.500000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.819	1436446066819	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-9.750000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.871	1436446066871	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-10.000000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.919	1436446066919	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-10.250000	5.000000	-2.000000	0.000000	-0.500000
090715-124746.970	1436446066970	0	0	0.000000	5.000000	-5.000000	10.000000	0.000000	-10.500000	5.000000	-2.000000	0.000000	-0.500000
