Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-140616.028	1436450776028	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.073	1436450776073	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.120	1436450776120	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.170	1436450776170	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.220	1436450776220	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.270	1436450776270	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.320	1436450776320	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.370	1436450776370	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.420	1436450776420	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.470	1436450776470	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.520	1436450776520	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.570	1436450776570	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.620	1436450776620	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.670	1436450776670	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.720	1436450776720	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.770	1436450776770	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.820	1436450776820	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.870	1436450776870	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.920	1436450776920	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140616.970	1436450776970	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.020	1436450777020	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.070	1436450777070	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.120	1436450777120	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.171	1436450777171	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.220	1436450777220	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.270	1436450777270	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.320	1436450777320	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.370	1436450777370	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.420	1436450777420	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.470	1436450777470	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.520	1436450777520	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.570	1436450777570	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.620	1436450777620	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.670	1436450777670	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.720	1436450777720	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.770	1436450777770	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.820	1436450777820	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.870	1436450777870	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.920	1436450777920	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140617.970	1436450777970	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.020	1436450778020	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.070	1436450778070	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.120	1436450778120	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.170	1436450778170	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.220	1436450778220	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.271	1436450778271	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.321	1436450778321	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.371	1436450778371	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.420	1436450778420	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.470	1436450778470	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.520	1436450778520	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.570	1436450778570	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.624	1436450778624	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.670	1436450778670	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.720	1436450778720	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.770	1436450778770	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.820	1436450778820	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.870	1436450778870	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.920	1436450778920	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140618.970	1436450778970	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.020	1436450779020	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.070	1436450779070	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.120	1436450779120	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.170	1436450779170	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.220	1436450779220	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.270	1436450779270	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.320	1436450779320	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.370	1436450779370	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.420	1436450779420	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.470	1436450779470	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.521	1436450779521	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.571	1436450779571	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.620	1436450779620	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.670	1436450779670	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.720	1436450779720	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.770	1436450779770	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.820	1436450779820	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.870	1436450779870	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.920	1436450779920	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140619.970	1436450779970	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.020	1436450780020	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.070	1436450780070	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.120	1436450780120	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.170	1436450780170	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.220	1436450780220	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.270	1436450780270	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.321	1436450780321	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.370	1436450780370	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.420	1436450780420	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.470	1436450780470	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.520	1436450780520	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.570	1436450780570	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.620	1436450780620	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.670	1436450780670	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.720	1436450780720	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.770	1436450780770	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.820	1436450780820	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.870	1436450780870	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.920	1436450780920	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140620.970	1436450780970	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.020	1436450781020	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.070	1436450781070	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.120	1436450781120	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.170	1436450781170	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.224	1436450781224	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.274	1436450781274	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.320	1436450781320	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.371	1436450781371	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
