Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-124744.921	1436446064921	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124744.970	1436446064970	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.020	1436446065020	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.069	1436446065069	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.119	1436446065119	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.169	1436446065169	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.219	1436446065219	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.269	1436446065269	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.319	1436446065319	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.369	1436446065369	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.419	1436446065419	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.469	1436446065469	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.521	1436446065521	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.570	1436446065570	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.620	1436446065620	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.670	1436446065670	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.722	1436446065722	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.772	1436446065772	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.819	1436446065819	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.871	1436446065871	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.920	1436446065920	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124745.970	1436446065970	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.021	1436446066021	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.069	1436446066069	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.120	1436446066120	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.171	1436446066171	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.219	1436446066219	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.270	1436446066270	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.321	1436446066321	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.371	1436446066371	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.421	1436446066421	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.471	1436446066471	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.522	1436446066522	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.571	1436446066571	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.620	1436446066620	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.670	1436446066670	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.720	1436446066720	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.769	1436446066769	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.819	1436446066819	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.871	1436446066871	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.919	1436446066919	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124746.969	1436446066969	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.021	1436446067021	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.070	1436446067070	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.120	1436446067120	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.169	1436446067169	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.221	1436446067221	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.269	1436446067269	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.320	1436446067320	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.371	1436446067371	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.420	1436446067420	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.470	1436446067470	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.519	1436446067519	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
090715-124747.570	1436446067570	1	2	0.000000	29.000000	-29.000000	14.500000	0.000000	0.000000	10.000000	-0.500000	-0.050000	-0.000000
