Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
-43 -397 198
-44 -395 199
-42 -391 205
-42 -404 190
-40 -395 200
-41 -398 192
-43 -402 190
-39 -394 200
-37 -398 192
-38 -397 193
-39 -401 196
-40 -407 185
-36 -396 197
-35 -400 193
-35 -400 191
-34 -393 202
-35 -400 190
-34 -395 195
-31 -399 192
-34 -404 184
-31 -395 197
-32 -402 188
-32 -399 193
-28 -395 198
-33 -403 188
-31 -393 193
-32 -399 191
-30 -401 191
-28 -392 199
-27 -402 184
-26 -395 191
-25 -397 189
-30 -407 183
-26 -396 192
-29 -400 188
-27 -400 191
-20 -392 196
-24 -406 182
-22 -398 189
-23 -402 185
-26 -408 179
-20 -394 189
-20 -403 180
-18 -402 183
-17 -399 183
-19 -413 170
-14 -403 178
-18 -408 171
-15 -405 174
-12 -400 182
-13 -412 167
-10 -408 174
-10 -409 170
-12 -417 160
-9 -407 172
-6 -410 162
-6 -411 165
-4 -405 175
-8 -414 160
-6 -407 169
-8 -414 166
-9 -413 162
-4 -406 173
-5 -412 160
-7 -407 166
-1 -407 170
-4 -416 160
-1 -404 171
1 -408 162
1 -410 163
2 -400 173
2 -410 165
5 -403 170
5 -409 166
3 -412 160
6 -401 171
10 -408 163
13 -408 161
16 -403 170
13 -413 156
20 -400 165
21 -405 161
23 -402 160
24 -396 172
22 -410 160
26 -400 165
21 -404 164
21 -407 159
26 -398 170
26 -405 161
27 -401 169
29 -398 174
27 -406 160
30 -397 173
29 -401 166
31 -397 165
37 -393 179
37 -401 164
36 -398 170
39 -396 170
36 -404 163
40 -394 173
41 -395 164
41 -398 169
45 -390 178
42 -403 163
47 -394 169
41 -397 167
42 -402 161
48 -393 174
46 -400 161
48 -401 164
53 -398 165
51 -406 150
57 -398 160
56 -400 156
57 -403 153
62 -393 161
60 -402 152
62 -400 156
64 -401 153
61 -406 144
62 -397 154
64 -403 151
63 -402 148
68 -397 157
62 -407 145
67 -398 153
65 -404 148
63 -408 147
68 -394 155
65 -406 148
68 -399 151
68 -402 151
64 -411 145
70 -401 151
69 -404 146
68 -406 148
74 -397 159
67 -407 146
71 -402 153
70 -403 148
65 -408 144
74 -396 151
71 -406 146
73 -404 148
79 -400 149
78 -409 137
82 -399 145
84 -406 138
82 -406 135
88 -398 145
85 -411 136
86 -404 139
90 -403 141
84 -409 133
92 -398 142
88 -405 134
90 -403 136
94 -398 139
90 -407 131
93 -398 137
91 -404 135
90 -403 131
97 -398 141
92 -406 130
95 -403 139
97 -400 137
88 -410 131
95 -399 137
95 -404 136
96 -402 136
101 -393 144
98 -407 135
102 -401 140
101 -402 136
98 -407 132
104 -396 143
102 -399 132
104 -400 137
108 -396 140
104 -409 129
108 -399 135
111 -401 131
107 -401 131
115 -394 137
109 -406 126
114 -398 129
118 -400 126
116 -411 114
122 -399 118
121 -408 109
125 -407 108
132 -402 111
127 -412 98
131 -408 98
133 -410 92
132 -415 86
141 -406 89
133 -413 79
141 -413 81
147 -412 83
136 -419 70
142 -413 82
143 -416 70
144 -416 69
151 -408 70
143 -419 65
149 -412 65
148 -417 67
141 -421 62
150 -412 69
149 -419 62
155 -419 61
160 -412 65
148 -419 56
156 -414 63
153 -417 62
151 -418 58
160 -410 66
154 -417 56
158 -414 58
159 -418 56
155 -421 43
163 -416 45
163 -420 38
164 -419 36
183 -416 38
166 -422 29
175 -417 32
174 -421 27
170 -422 22
181 -418 24
178 -422 20
181 -419 20
187 -417 19
179 -422 11
185 -415 14
181 -418 12
182 -418 9
192 -414 14
183 -424 6
192 -417 5
189 -418 6
185 -421 -2
191 -415 5
193 -421 -1
191 -419 3
197 -413 7
189 -421 1
195 -417 5
189 -420 -3
189 -424 -5
200 -415 -2
