Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
357 -256 -600
390 -257 -566
420 -261 -523
447 -263 -475
473 -268 -418
494 -266 -363
509 -266 -312
519 -264 -273
530 -256 -247
533 -249 -242
541 -243 -231
547 -237 -207
549 -237 -182
548 -231 -161
550 -230 -153
551 -227 -148
547 -234 -141
552 -231 -131
551 -222 -118
559 -215 -110
568 -195 -97
565 -182 -79
564 -172 -7
541 -171 80
509 -176 148
488 -186 181
467 -204 198
455 -221 199
457 -235 175
471 -238 145
466 -236 158
446 -231 200
421 -224 243
398 -215 273
391 -204 288
383 -201 300
376 -194 311
370 -184 321
358 -186 338
338 -188 348
312 -185 374
282 -172 406
251 -155 430
214 -138 460
182 -120 484
156 -108 498
139 -100 506
127 -90 512
114 -84 519
100 -73 524
84 -66 528
60 -61 536
37 -66 538
12 -74 542
-14 -90 542
-26 -105 539
-40 -113 537
-43 -112 534
-51 -104 536
-59 -98 538
-59 -92 539
-66 -94 537
-64 -99 537
-53 -110 531
-51 -128 528
-38 -142 516
-34 -163 512
-28 -174 503
-9 -183 494
5 -198 489
29 -204 480
53 -204 471
66 -211 465
124 -177 460
171 -162 449
197 -163 434
217 -156 424
239 -151 421
256 -138 411
273 -129 405
285 -122 399
306 -96 392
314 -76 392
325 -51 388
331 -23 386
339 -4 388
344 21 387
352 41 377
357 65 374
361 87 363
359 109 367
355 134 368
345 163 367
340 196 366
334 233 355
323 268 346
314 301 336
305 329 319
313 317 327
326 302 318
339 298 309
341 304 303
351 305 288
359 305 282
370 308 258
391 306 231
407 296 216
417 284 203
428 266 191
447 248 178
463 221 157
474 197 146
492 167 132
502 135 113
514 107 94
516 77 69
523 46 51
527 20 36
525 -11 18
526 -34 6
535 -19 -19
539 -11 -29
543 5 -47
546 16 -69
551 34 -88
552 47 -114
553 65 -141
558 81 -155
551 99 -176
555 116 -185
552 134 -191
545 154 -198
547 173 -198
547 172 -198
543 179 -187
545 193 -186
542 205 -197
535 220 -200
530 235 -202
526 245 -206
523 259 -205
517 276 -205
510 298 -202
500 323 -192
490 337 -186
482 362 -180
468 381 -176
457 396 -172
448 415 -159
439 426 -157
425 441 -154
416 456 -141
402 470 -139
407 464 -138
413 461 -141
412 458 -140
418 453 -146
420 444 -156
424 446 -151
418 444 -157
419 446 -167
415 452 -171
413 453 -179
410 463 -191
409 462 -195
408 455 -216
405 459 -242
393 470 -252
383 479 -265
376 488 -277
366 490 -286
354 501 -292
346 507 -302
340 510 -311
333 518 -313
326 518 -318
315 525 -327
303 531 -333
281 544 -351
262 553 -362
239 562 -378
206 577 -392
155 599 -398
106 617 -399
54 633 -397
11 642 -398
-26 644 -401
-69 653 -401
-89 650 -407
-124 647 -419
-148 645 -421
-190 644 -414
-221 638 -413
-240 634 -416
-259 629 -414
-275 629 -408
-292 625 -399
-309 625 -395
-325 620 -394
-336 614 -391
-356 609 -391
-370 601 -391
-392 598 -384
-417 587 -370
-435 581 -357
-462 570 -342
-481 563 -332
-495 552 -327
-511 545 -324
-528 530 -321
-549 515 -308
-573 496 -291
-596 480 -279
-615 458 -257
-635 435 -237
-654 410 -219
-681 378 -187
-700 336 -150
-714 302 -122
-726 268 -94
-729 244 -76
-733 230 -67
-741 206 -68
-744 188 -82
-746 174 -97
-752 155 -120
-755 134 -127
-754 113 -138
-756 87 -145
-753 55 -154
-750 19 -165
-741 -20 -175
-734 -60 -182
-720 -97 -184
-704 -135 -183
-691 -169 -187
-674 -198 -196
-655 -225 -200
-641 -249 -212
-619 -276 -220
-597 -304 -226
-577 -326 -230
-558 -343 -226
-544 -360 -217
-529 -374 -201
-513 -388 -180
-503 -398 -160
-488 -410 -135
-475 -420 -108
-459 -425 -81
-445 -433 -49
