Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
-0.442336 -0.429197 0.097080
-0.441606 -0.427007 0.096350
-0.445255 -0.437956 0.099270
-0.443066 -0.428467 0.097810
-0.443796 -0.432117 0.097810
-0.444526 -0.435766 0.100730
-0.440876 -0.423358 0.096350
-0.441606 -0.432117 0.100730
-0.440876 -0.428467 0.100000
-0.443066 -0.430657 0.097080
-0.444526 -0.435037 0.100000
-0.439416 -0.424088 0.096350
-0.445255 -0.432117 0.098540
-0.442336 -0.429927 0.097080
-0.440876 -0.424088 0.095620
-0.443796 -0.437226 0.100000
-0.441606 -0.428467 0.097080
-0.442336 -0.430657 0.098540
-0.442336 -0.432847 0.100730
-0.440146 -0.424818 0.096350
-0.443066 -0.432117 0.100730
-0.441606 -0.429197 0.100730
-0.440876 -0.429197 0.097810
-0.444526 -0.435037 0.100730
-0.440876 -0.427007 0.097080
-0.444526 -0.434307 0.100000
-0.443066 -0.429197 0.097080
-0.440146 -0.426277 0.092701
-0.443796 -0.436496 0.100000
-0.440876 -0.427737 0.097810
-0.443796 -0.432847 0.097810
-0.441606 -0.432847 0.098540
-0.440876 -0.424088 0.094891
-0.445255 -0.432847 0.094891
-0.443066 -0.428467 0.098540
-0.442336 -0.427737 0.097080
-0.444526 -0.437226 0.101460
-0.438686 -0.424088 0.097810
-0.443796 -0.429927 0.100000
-0.441606 -0.433577 0.099270
-0.439416 -0.424818 0.096350
-0.443066 -0.434307 0.096350
-0.441606 -0.427737 0.097080
-0.444526 -0.429927 0.099270
-0.447445 -0.435037 0.099270
-0.441606 -0.426277 0.094891
-0.444526 -0.434307 0.097080
-0.440876 -0.429927 0.099270
-0.442336 -0.429197 0.097810
-0.443796 -0.437226 0.100730
-0.440876 -0.428467 0.097080
-0.443796 -0.432847 0.097810
-0.440876 -0.433577 0.100730
-0.440146 -0.423358 0.094891
-0.443796 -0.432117 0.099270
-0.444526 -0.429927 0.097810
-0.440876 -0.432117 0.097810
-0.445985 -0.436496 0.099270
-0.443066 -0.424088 0.098540
-0.445255 -0.432117 0.100730
-0.439416 -0.429197 0.097810
-0.441606 -0.425547 0.094891
-0.441606 -0.435037 0.098540
-0.442336 -0.429197 0.096350
-0.444526 -0.430657 0.094891
-0.445985 -0.434307 0.097810
-0.440876 -0.422628 0.097080
-0.443066 -0.431387 0.099270
-0.442336 -0.430657 0.099270
-0.439416 -0.430657 0.097810
-0.445985 -0.436496 0.098540
-0.440146 -0.424088 0.095620
-0.440876 -0.431387 0.098540
-0.442336 -0.428467 0.100000
-0.439416 -0.423358 0.094891
-0.442336 -0.432117 0.099270
-0.440146 -0.427007 0.096350
-0.441606 -0.435037 0.097080
-0.444526 -0.434307 0.099270
-0.437956 -0.424818 0.096350
-0.443066 -0.433577 0.100000
-0.440876 -0.428467 0.094891
-0.442336 -0.429197 0.096350
-0.444526 -0.439416 0.098540
-0.443066 -0.429927 0.096350
-0.443796 -0.432117 0.097080
-0.443066 -0.431387 0.097810
-0.438686 -0.422628 0.094891
-0.443796 -0.437226 0.097080
-0.442336 -0.429927 0.097810
-0.442336 -0.430657 0.098540
-0.446715 -0.433577 0.100000
-0.443066 -0.428467 0.096350
-0.443066 -0.435766 0.097080
-0.442336 -0.430657 0.094161
-0.441606 -0.424088 0.095620
-0.443796 -0.437956 0.098540
-0.443066 -0.427737 0.099270
-0.443796 -0.431387 0.097080
-0.443066 -0.433577 0.097080
-0.438686 -0.420438 0.094161
-0.443796 -0.433577 0.100000
-0.442336 -0.431387 0.098540
-0.440876 -0.429927 0.097810
-0.444526 -0.436496 0.100730
-0.443796 -0.423358 0.097080
-0.440876 -0.430657 0.099270
-0.440876 -0.429197 0.098540
-0.437956 -0.422628 0.097810
