Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
-272 -336 244
-269 -343 242
-264 -342 239
-264 -342 244
-262 -343 242
-257 -346 242
-254 -342 239
-256 -344 240
-254 -342 239
-254 -347 241
-254 -346 239
-249 -349 237
-247 -349 239
-244 -349 243
-245 -351 240
-240 -352 241
-235 -353 240
-232 -351 239
-231 -353 240
-224 -358 238
-223 -357 235
-222 -357 237
-214 -361 234
-210 -357 238
-210 -357 241
-207 -357 242
-205 -358 241
-204 -357 246
-197 -359 243
-199 -356 244
-191 -358 244
-191 -358 243
-188 -358 242
-184 -362 242
-181 -363 242
-175 -362 238
-173 -360 240
-173 -364 240
-165 -364 239
-163 -364 239
-158 -361 241
-155 -365 241
-153 -362 241
-149 -364 243
-149 -368 239
-145 -365 241
-145 -368 238
-142 -367 238
-136 -367 238
-136 -369 237
-130 -366 234
-127 -372 233
-124 -369 233
-115 -371 233
-111 -374 232
-108 -369 233
-103 -370 234
-101 -369 235
-101 -367 236
-99 -368 235
-99 -367 238
-98 -372 237
-96 -372 233
-91 -372 235
-89 -368 234
-87 -372 232
-87 -374 230
-80 -374 225
-77 -372 230
-76 -372 232
-73 -371 232
-74 -371 234
-69 -372 232
-67 -370 234
-63 -368 230
-63 -371 230
-61 -372 230
-57 -374 231
-53 -375 224
-49 -373 222
-52 -375 220
-49 -378 216
-42 -379 217
-41 -383 211
-35 -384 207
-34 -385 211
-36 -385 203
-32 -384 201
-31 -389 200
-30 -386 199
-28 -388 198
-25 -391 196
-28 -391 193
-23 -393 190
-19 -394 186
-24 -395 186
-22 -395 183
-20 -395 181
-18 -396 184
-17 -399 182
-15 -399 178
-12 -401 174
-12 -399 173
-11 -400 170
-7 -401 170
-6 -402 168
-6 -408 163
-4 -407 160
-4 -408 156
-7 -408 156
-7 -410 156
-1 -413 149
-1 -415 146
1 -414 145
2 -417 141
-1 -419 137
2 -418 134
5 -424 131
6 -422 131
3 -419 126
4 -422 122
7 -421 124
4 -424 123
8 -421 123
10 -421 124
11 -423 122
14 -421 120
18 -422 119
17 -423 122
21 -425 118
21 -424 118
25 -422 117
28 -420 116
30 -421 116
34 -421 118
33 -423 115
38 -421 111
39 -424 116
39 -422 113
43 -421 113
46 -423 110
49 -417 110
54 -423 110
58 -422 105
61 -420 107
68 -415 105
70 -415 104
74 -418 105
78 -418 102
82 -417 100
82 -416 100
87 -413 95
76 -418 106
60 -419 113
59 -413 115
64 -418 112
68 -416 110
72 -415 107
78 -416 106
81 -414 106
82 -414 102
89 -414 103
87 -412 105
91 -413 107
93 -412 104
95 -412 100
97 -409 102
97 -412 101
101 -412 103
101 -411 101
97 -412 101
98 -412 101
98 -411 102
96 -412 104
97 -411 102
95 -414 102
97 -413 104
94 -410 104
93 -412 103
97 -407 103
95 -411 103
96 -412 104
92 -412 105
93 -412 107
88 -414 105
91 -412 105
91 -413 105
91 -412 101
92 -413 102
89 -417 99
93 -413 100
89 -420 101
92 -414 100
89 -413 102
88 -415 100
89 -414 97
92 -415 99
90 -412 99
89 -413 95
90 -419 94
89 -417 91
94 -419 87
96 -423 86
97 -420 79
100 -422 79
97 -424 76
99 -423 73
101 -422 74
105 -424 68
110 -423 67
110 -421 63
113 -424 59
116 -426 59
120 -424 56
116 -425 52
121 -425 52
124 -424 49
127 -423 48
130 -422 43
131 -423 38
137 -422 37
137 -425 31
140 -420 32
144 -420 27
143 -424 24
150 -423 24
150 -424 20
153 -423 18
156 -422 15
157 -422 12
159 -418 7
160 -423 5
163 -424 0
167 -427 -1
168 -423 -4
171 -421 -6
174 -417 -11
173 -423 -13
176 -423 -17
179 -420 -23
181 -421 -24
184 -419 -24
187 -420 -29
189 -419 -30
191 -416 -35
194 -418 -37
