Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
0.235036 -0.386131 -0.177372
0.235036 -0.389781 -0.175182
0.235036 -0.385401 -0.168613
0.235766 -0.389781 -0.154745
0.229197 -0.390511 -0.134307
0.229927 -0.389051 -0.122628
0.229927 -0.391241 -0.115328
0.224818 -0.394161 -0.108759
0.226277 -0.392701 -0.109489
0.221898 -0.393431 -0.097810
0.218978 -0.394161 -0.089051
0.213869 -0.394161 -0.080292
0.209489 -0.400000 -0.067883
0.196350 -0.402920 -0.052555
0.185401 -0.406569 -0.035036
0.167883 -0.408029 -0.014599
0.153285 -0.409489 0.006569
0.138686 -0.412409 0.021898
0.123358 -0.413869 0.037226
0.111679 -0.416058 0.048905
0.094161 -0.414599 0.062774
0.077372 -0.413869 0.077372
0.052555 -0.416058 0.090511
0.029197 -0.418248 0.103650
0.004380 -0.416058 0.113869
-0.025547 -0.416788 0.126277
-0.048905 -0.415328 0.129927
-0.086131 -0.414599 0.137956
-0.123358 -0.414599 0.138686
-0.164963 -0.410949 0.135036
-0.201460 -0.405839 0.127737
-0.228467 -0.406569 0.118978
-0.251825 -0.407299 0.111679
-0.274453 -0.397810 0.100730
-0.294891 -0.400000 0.089781
-0.316058 -0.397080 0.074453
-0.335766 -0.393431 0.060584
-0.359124 -0.390511 0.039416
-0.379562 -0.384672 0.013869
-0.399270 -0.382482 -0.013869
-0.419708 -0.380292 -0.043066
-0.432117 -0.372263 -0.074453
-0.446715 -0.371533 -0.107299
-0.451095 -0.363504 -0.138686
-0.457664 -0.361314 -0.166423
-0.461314 -0.357664 -0.186861
-0.463504 -0.356934 -0.205109
-0.464963 -0.350365 -0.222628
-0.465693 -0.350365 -0.233577
-0.465693 -0.346715 -0.248175
-0.467153 -0.347445 -0.259124
-0.463504 -0.343796 -0.276642
-0.464963 -0.337226 -0.289051
-0.459124 -0.337226 -0.306569
-0.455474 -0.335766 -0.324818
-0.448175 -0.331387 -0.342336
-0.440146 -0.330657 -0.365693
-0.432117 -0.332847 -0.383942
-0.421898 -0.329197 -0.400730
-0.416058 -0.329927 -0.412409
-0.408759 -0.325547 -0.425547
-0.401460 -0.325547 -0.435037
-0.393431 -0.324818 -0.441606
-0.387591 -0.325547 -0.454745
-0.380292 -0.324088 -0.459854
-0.371533 -0.327007 -0.470803
-0.364234 -0.324088 -0.475182
-0.350365 -0.324088 -0.487591
-0.339416 -0.322628 -0.500000
-0.328467 -0.324818 -0.508759
-0.312409 -0.326277 -0.514599
-0.297810 -0.327737 -0.524088
-0.279562 -0.328467 -0.531387
-0.269343 -0.328467 -0.540146
-0.251825 -0.327007 -0.544526
-0.240876 -0.329927 -0.550365
-0.222628 -0.332117 -0.555474
-0.206569 -0.331387 -0.559124
-0.192701 -0.332847 -0.562774
-0.174453 -0.330657 -0.565693
-0.152555 -0.335036 -0.567883
-0.135766 -0.337956 -0.569343
-0.112409 -0.340146 -0.563504
-0.091971 -0.345985 -0.563504
-0.068613 -0.345255 -0.557664
-0.048175 -0.348905 -0.554015
-0.028467 -0.353285 -0.547445
-0.010219 -0.356204 -0.538686
0.010949 -0.356934 -0.531387
0.028467 -0.358394 -0.518978
0.048905 -0.366423 -0.505839
0.066423 -0.367883 -0.493431
0.087591 -0.373723 -0.477372
0.108029 -0.376642 -0.454745
0.127737 -0.378832 -0.432847
0.145255 -0.385401 -0.402920
0.162044 -0.388321 -0.372263
0.171533 -0.396350 -0.340876
0.181022 -0.400730 -0.305839
0.183212 -0.407299 -0.267883
0.182482 -0.413139 -0.233577
0.178832 -0.422628 -0.191971
0.168613 -0.423358 -0.159124
0.155474 -0.431387 -0.120438
0.138686 -0.433577 -0.084672
0.118978 -0.439416 -0.053285
